cat_smiles,an_smiles,T,P,value,unit,ref,il,mw,logp,tpsa,hbd,hba,rotb,ar_rings,heavy,fcsp3,rings
CCCCCCCCCCCCCCCC[n+]1ccccc1,[OH-],,,342.6,K,"Sastry, N. V.; Trivedi, P. A. (2021) J. Mol. Liq. 336, 116345.",CCCCCCCCCCCCCCCC[n+]1ccccc1|[OH-],321.5489999999999,6.278600000000006,33.88,0,1,15,1,23,0.7619047619047619,1
CCCCCCCCCCCC[N+](CCCCCCCCCCCC)=C(N(C)C)N(C)C,N#C[N-]C#N,,,326.1,K,"Serbanovic, A.; Petrovski, Z.; Manic, M.; Marques, C. S.; Carrera, G. V. S. M.; Branco, L. C.; Afonso, C. A. M.; Nunes da Ponte, M. (2010) Fluid Phase Equilib. 294, 121-130.",CCCCCCCCCCCC[N+](CCCCCCCCCCCC)=C(N(C)C)N(C)C|N#C[N-]C#N,518.8790000000004,8.642160000000006,71.17,0,2,22,0,37,0.9032258064516128,0
C[N+](C)(C)CCO,N#C[N-]C#N,,,274.64,K,"Skonieczny, Michal; Krolikowska, Marta; Paduszynski, Kamil; Wieckowski, Mikolaj (2025) Fluid Phase Equilib. 600, 114548.",C[N+](C)(C)CCO|N#C[N-]C#N,170.216,0.0071600000000001,81.91,1,3,2,0,12,0.7142857142857143,0
CC[n+]1ccn(C)c1,[Cl-],,,360.8,K,"Sola-Cervera, J. L.; Keil, P.; Konig, A. (2010) Chem. Eng. Technol. 33, 821.",CC[n+]1ccn(C)c1|[Cl-],146.62099999999998,-2.663499999999998,8.809999999999999,0,0,1,1,9,0.5,1
CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1,[OH-],,,338.1,K,"Sastry, N. V.; Trivedi, P. A. (2021) J. Mol. Liq. 336, 116345.",CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1|[OH-],341.62400000000014,6.921400000000007,30.0,0,1,15,0,24,1.0,1
CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1,CC(=O)Oc1ccccc1C(=O)[O-],,,303.9,K,"Sastry, N. V.; Trivedi, P. A. (2021) J. Mol. Liq. 336, 116345.",CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1|CC(=O)Oc1ccccc1C(=O)[O-],503.7680000000004,7.073600000000007,66.43,0,4,17,1,36,0.7419354838709677,2
CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],O=[N+]([O-])[O-],,,316.4,K,"Stejfa, Vojtech; Rohlicek, Jan; Cervinka, Ctirad (2020) J. Chem. Thermodyn. 142, 106020.",CC[n+]1ccn(C)c1.O=[N+]([O-])[O-]|O=[N+]([O-])[O-],235.176,-0.1456999999999999,141.21,0,6,1,1,16,0.5,1
CC[n+]1ccn(C)c1,N#C[S-],,,266.0,K,"Stejfa, Vojtech; Rohlicek, Jan; Cervinka, Ctirad (2020) J. Chem. Thermodyn. 142, 106020.",CC[n+]1ccn(C)c1|N#C[S-],169.253,0.3468799999999998,32.599999999999994,0,2,1,1,11,0.4285714285714285,1
CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],O=[N+]([O-])[O-],,,314.9,K,"Stejfa, Vojtech; Rohlicek, Jan; Cervinka, Ctirad (2020) J. Chem. Thermodyn. 142, 106020.",CC[n+]1ccn(C)c1.O=[N+]([O-])[O-]|O=[N+]([O-])[O-],235.176,-0.1456999999999999,141.21,0,6,1,1,16,0.5,1
CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F,,,262.6,K,"Stejfa, Vojtech; Rohlicek, Jan; Cervinka, Ctirad (2020) J. Chem. Thermodyn. 142, 106020.",CC[n+]1ccn(C)c1|O=S(=O)([O-])C(F)(F)F,260.237,0.3839,66.01,0,3,1,1,16,0.5714285714285714,1
