il
C(C)N1C(=[N+](C=C1)C)C|[S-]C#N
CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1|FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1|F[B-](F)(F)F
CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1|F[P-](F)(F)(F)(F)F
CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C|N#C[N-]C#N
CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C|[O-]Cl(=O)(=O)=O
CCCCCCCCCCCCCCCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1|CC(=O)Oc1ccccc1C(=O)[O-]
CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1|[Cl-]
CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1|[OH-]
CCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC|[Br-]
CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]|CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]
CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21|CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F
CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21|CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F
CCCCCCCCCCCCCCCC[n+]1ccccc1|CC(=O)Oc1ccccc1C(=O)[O-]
CCCCCCCCCCCCCCCC[n+]1ccccc1|O=S(=O)([O-])NC1CCCCC1
CCCCCCCCCCCCCCCC[n+]1ccccc1|[OH-]
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1C|[Br-]
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1|F[B-](F)(F)F
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1|[Br-]
CCCCCCCCCCCCCCCC[n+]1ccsc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCCCCn1cc[n+](C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C|F[B-](F)(F)F
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C|N#C[N-]C#N
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C|[O-]Cl(=O)(=O)=O
CCCCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCCCC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCCCC|[Cl-]
CCCCCCCCCCCCCC[N+](C)(CCOCCOCCOCCOCCOCCO)CCOCCOCCOCCOCCOCCO|COS(=O)(=O)[O-]
CCCCCCCCCCCCCC[N+](CC)(CC)CC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCC[N+]1=C2CCCCCN2CCC1|N#C[S-]
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC|CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC|CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-]
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Cc1ncc([N+](=O)[O-])[n-]1|Cc1ncc([N+](=O)[O-])[n-]1
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])c1c[n-]cn1|O=[N+]([O-])c1c[n-]cn1
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])c1cn[n-]c1|O=[N+]([O-])c1cn[n-]c1
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|CC(=O)[O-]
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|CCCC(=O)[O-]
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|CCCCCC(=O)[O-]
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|CCCCCCCC(=O)[O-]
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|CCCCCCCCCC(=O)[O-]
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|CS(=O)(=O)[O-]
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|Cc1ccc(S(=O)(=O)[O-])cc1
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|Cl[Fe-](Cl)(Cl)Cl
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|Clc1nc[n-]c1Cl
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|F[B-](F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|F[P-](F)(F)(F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|N#C[B-](C#N)(C#N)C#N
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|N#C[N-]C#N
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|N#Cc1ccc[n-]1
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|N#Cc1nc[n-]c1C#N
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|O=S(=O)([O-])C(F)(F)F
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|[Br-]
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC|[Cl-]
